------------------------------OpenMP------------------------
integrate_omp_seq
         T	      Time	    Result	  Speedup
        48	   16.6527	  0.666667	  0.202906
integrate_omp_cs
         T	      Time	    Result	  Speedup
         1	   2.24566	  0.666667	         1
         2	   1.18679	  0.666667	   1.89221
         3	  0.827331	  0.666667	   2.71434
         4	  0.614183	  0.666667	   3.65633
         5	  0.506442	  0.666667	   4.43419
         6	  0.421556	  0.666667	   5.32707
         7	  0.276105	  0.666667	   8.13336
         8	  0.216444	  0.666667	   10.3752
         9	  0.176886	  0.666667	   12.6955
        10	  0.140686	  0.666667	   15.9622
        11	  0.159509	  0.666667	   14.0785
        12	   0.13941	  0.666667	   16.1083
        13	  0.114487	  0.666667	    19.615
        14	  0.100452	  0.666667	   22.3555
        15	  0.093397	  0.666667	   24.0442
        16	 0.0876494	  0.666667	   25.6209
        17	  0.140905	  0.666667	   15.9374
        18	 0.0779324	  0.666667	   28.8155
        19	 0.0738654	  0.666667	    30.402
        20	 0.0703228	  0.666667	   31.9336
        21	 0.0672636	  0.666667	   33.3859
        22	 0.0642027	  0.666667	   34.9776
        23	 0.0999523	  0.666667	   22.4673
        24	 0.0590853	  0.666667	   38.0071
        25	  0.109403	  0.666667	   20.5265
        26	  0.102987	  0.666667	   21.8053
        27	 0.0910653	  0.666667	   24.6599
        28	 0.0788809	  0.666667	    28.469
        29	 0.0674864	  0.666667	   33.2758
        30	 0.0622221	  0.666667	    36.091
        31	 0.0571077	  0.666667	   39.3233
        32	  0.051692	  0.666667	   43.4431
        33	 0.0491094	  0.666667	   45.7277
        34	 0.0450565	  0.666667	    49.841
        35	 0.0427175	  0.666667	     52.57
        36	 0.0423305	  0.666667	   53.0506
        37	 0.0401396	  0.666667	   55.9463
        38	 0.0393882	  0.666667	   57.0135
        39	 0.0385131	  0.666667	    58.309
        40	 0.0378014	  0.666667	   59.4068
        41	 0.0369656	  0.666667	     60.75
        42	 0.0362087	  0.666667	   62.0199
        43	 0.0356604	  0.666667	   62.9735
        44	 0.0350545	  0.666667	   64.0619
        45	   0.03424	  0.666667	   65.5858
        46	 0.0337071	  0.666667	   66.6227
        47	 0.0333807	  0.666667	   67.2741
        48	  0.032611	  0.666667	    68.862
integrate_omp_mtx
         T	      Time	    Result	  Speedup
         1	   1.43093	  0.666667	         1
         2	  0.728441	  0.666667	   1.96437
         3	  0.532017	  0.666667	   2.68963
         4	  0.631516	  0.666667	   2.26586
         5	  0.518246	  0.666667	    2.7611
         6	  0.296642	  0.666667	   4.82377
         7	  0.221584	  0.666667	   6.45773
         8	  0.168634	  0.666667	   8.48543
         9	  0.150584	  0.666667	   9.50253
        10	  0.135153	  0.666667	   10.5875
        11	  0.124222	  0.666667	   11.5191
        12	  0.113534	  0.666667	   12.6035
        13	  0.107128	  0.666667	   13.3571
        14	  0.099451	  0.666667	   14.3883
        15	 0.0932523	  0.666667	   15.3447
        16	 0.0872995	  0.666667	    16.391
        17	 0.0857771	  0.666667	   16.6819
        18	 0.0779175	  0.666667	   18.3647
        19	 0.0740058	  0.666667	   19.3354
        20	 0.0705349	  0.666667	   20.2868
        21	 0.0672709	  0.666667	   21.2712
        22	 0.0647049	  0.666667	   22.1147
        23	 0.0615937	  0.666667	   23.2318
        24	 0.0593409	  0.666667	   24.1137
        25	  0.109143	  0.666667	   13.1106
        26	  0.105304	  0.666667	   13.5885
        27	 0.0969789	  0.666667	   14.7551
        28	 0.0846883	  0.666667	   16.8964
        29	 0.0745801	  0.666667	   19.1865
        30	  0.065667	  0.666667	   21.7907
        31	  0.059107	  0.666667	   24.2091
        32	 0.0553131	  0.666667	   25.8696
        33	 0.0493142	  0.666667	   29.0166
        34	 0.0477948	  0.666667	    29.939
        35	 0.0433332	  0.666667	   33.0216
        36	 0.0418919	  0.666667	   34.1577
        37	 0.0404442	  0.666667	   35.3804
        38	 0.0390242	  0.666667	   36.6677
        39	 0.0381564	  0.666667	   37.5017
        40	 0.0373841	  0.666667	   38.2764
        41	 0.0365854	  0.666667	    39.112
        42	 0.0357082	  0.666667	   40.0729
        43	 0.0351868	  0.666667	   40.6667
        44	 0.0344986	  0.666667	   41.4779
        45	 0.0339815	  0.666667	   42.1091
        46	  0.033356	  0.666667	   42.8988
        47	 0.0328389	  0.666667	   43.5743
        48	  0.032256	  0.666667	   44.3616
-----------------------------C++--------------------------
integrate_cpp
         T	      Time	    Result	  Speedup
         1	   1.76922	  0.666667	         1
         2	    1.2764	  0.666667	   1.38611
         3	   0.87424	  0.666667	   2.02372
         4	  0.688751	  0.666667	   2.56874
         5	   0.56823	  0.666667	   3.11357
         6	  0.533577	  0.666667	   3.31577
         7	   0.34598	  0.666667	   5.11366
         8	  0.300093	  0.666667	   5.89558
         9	  0.338455	  0.666667	   5.22734
        10	  0.315396	  0.666667	   5.60953
        11	  0.242467	  0.666667	   7.29675
        12	  0.267705	  0.666667	   6.60885
        13	  0.279665	  0.666667	   6.32621
        14	  0.312966	  0.666667	   5.65308
        15	  0.237024	  0.666667	   7.46432
        16	  0.190928	  0.666667	   9.26643
        17	  0.164582	  0.666667	   10.7498
        18	  0.150649	  0.666667	    11.744
        19	  0.132803	  0.666667	   13.3222
        20	  0.122373	  0.666667	   14.4576
        21	  0.122128	  0.666667	   14.4866
        22	  0.114825	  0.666667	   15.4079
        23	  0.106491	  0.666667	   16.6137
        24	  0.107842	  0.666667	   16.4056
        25	  0.136332	  0.666667	   12.9773
        26	   0.12465	  0.666667	   14.1935
        27	  0.115729	  0.666667	   15.2876
        28	  0.101802	  0.666667	   17.3791
        29	  0.106487	  0.666667	   16.6144
        30	 0.0990303	  0.666667	   17.8655
        31	 0.0904756	  0.666667	   19.5547
        32	 0.0841217	  0.666667	   21.0317
        33	 0.0817878	  0.666667	   21.6318
        34	 0.0731384	  0.666667	     24.19
        35	   0.07404	  0.666667	   23.8955
        36	 0.0724365	  0.666667	   24.4244
        37	 0.0944701	  0.666667	   18.7279
        38	 0.0887254	  0.666667	   19.9404
        39	 0.0911647	  0.666667	   19.4069
        40	 0.0870004	  0.666667	   20.3358
        41	 0.0893718	  0.666667	   19.7962
        42	 0.0785451	  0.666667	   22.5249
        43	 0.0742413	  0.666667	   23.8307
        44	 0.0746787	  0.666667	   23.6911
        45	 0.0730885	  0.666667	   24.2066
        46	 0.0681746	  0.666667	   25.9513
        47	 0.0665003	  0.666667	   26.6047
        48	 0.0591006	  0.666667	   29.9357
integrate_cpp_cs
         T	      Time	    Result	  Speedup
         1	   2.27751	  0.666667	         1
         2	  0.999638	  0.666667	   2.27833
         3	  0.815584	  0.666667	   2.79249
         4	   0.58215	  0.666667	   3.91224
         5	  0.475032	  0.666667	   4.79443
         6	  0.437039	  0.666667	   5.21123
         7	  0.370653	  0.666667	   6.14459
         8	  0.294825	  0.666667	   7.72495
         9	  0.282501	  0.666667	   8.06195
        10	  0.256613	  0.666667	   8.87526
        11	  0.230367	  0.666667	   9.88644
        12	  0.212625	  0.666667	   10.7114
        13	  0.192425	  0.666667	   11.8358
        14	  0.178306	  0.666667	    12.773
        15	  0.162139	  0.666667	   14.0466
        16	  0.126503	  0.666667	   18.0036
        17	  0.117594	  0.666667	   19.3675
        18	  0.100063	  0.666667	   22.7608
        19	 0.0885441	  0.666667	   25.7218
        20	 0.0785933	  0.666667	   28.9784
        21	 0.0706283	  0.666667	   32.2464
        22	 0.0642616	  0.666667	   35.4412
        23	 0.0610023	  0.666667	   37.3348
        24	  0.062278	  0.666667	     36.57
        25	  0.108809	  0.666667	   20.9312
        26	  0.100662	  0.666667	   22.6252
        27	 0.0872227	  0.666667	   26.1114
        28	 0.0751629	  0.666667	    30.301
        29	 0.0676485	  0.666667	   33.6668
        30	 0.0628084	  0.666667	   36.2612
        31	  0.056725	  0.666667	     40.15
        32	  0.054464	  0.666667	   41.8167
        33	 0.0482228	  0.666667	   47.2289
        34	 0.0468438	  0.666667	   48.6192
        35	 0.0427597	  0.666667	    53.263
